FACILITY_ID,EXISTING_FACILITY,RECOMMEND_FACILITY,ACTION,PHASE,YEAR_BUILT,PROPOSED,ROUTE_NAME,SURFACE,MILEAGE,FACILITY_WIDTH,MAINTENANCE,FULLNAME,FROMNAME,TONAME,VOLCLASS,TRAVLANES,LANEWIDTH,SPEEDLIMIT,ONEWAY,HUNDBLKNAME,COMMENTS
,,SH,ASM,3,,,,,,,,W 32ND AVE,N VALLEJO ST,N WYANDOT ST,COLLECTOR,2,10,30,0, 2200 BLK OF W 32ND AVE,
,,SH,ASM,3,,,,,,,,W 32ND AVE,N RALEIGH ST,N STUART ST,COLLECTOR,2,10,30,0, 4200 BLK OF W 32ND AVE,
,SRd,BBlvd,C,1,,,,,,,,N WILLIAMS ST,E 7TH AVENUE PKWY/E 7TH AVE,CHEESMAN PARK 2/CHEESMAN PARK 5/E 8TH AVE,LOCAL,2,10,25,0,  700 BLK OF N WILLIAMS ST,
,,SH,ASM,3,,,,,,,,W 32ND AVE,N FIFE CT,N BRYANT ST,COLLECTOR,2,10,30,0, ,
,SRd,S,S,3,,,,,,,,E 20TH AVE,N CLARKSON ST,N CLARKSON ST,ARTERIAL,2,10,25,0,  800 BLK OF E 20TH AVE,
,SRd,BL,RD,3,,,,,,,,N STEELE ST,E 41ST AVE,E 42ND AVE,COLLECTOR,2,10,25,0, 4100 BLK OF N STEELE ST,
,,BL,LD,3,,,,,,,,N ZUNI ST,W 31ST AVE/W ARGYLE PL,W 32ND AVE,ARTERIAL,2,11,30,0, 3100 BLK OF N ZUNI ST,
,,,FTP1,3,,,,,,,,N ZUNI ST,W 40TH AVE,W 41ST AVE,COLLECTOR,2,11,30,0, 4000 BLK OF N ZUNI ST,
,SRd,,RD,,,,,,,,,N FRANKLIN ST,E MARTIN LUTHER KING BLVD,E 33RD AVE,COLLECTOR,2,10,25,0, 3200 BLK OF N FRANKLIN ST,
,,BL,RP1,3,,,,,,,,W 50TH AVE,N PERRY ST,N QUITMAN ST,COLLECTOR,2,10,25,0, 4000 BLK OF W 50TH AVE,
,,SH,ASM,3,,,,,,,,W 32ND AVE,N JULIAN ST,N LOWELL BLVD,COLLECTOR,2,10,30,0, 3400 BLK OF W 32ND AVE,
,,BL,RP1,3,,,,,,,,W 50TH AVE,N QUITMAN ST,N RALEIGH ST,COLLECTOR,2,10,25,0, 4100 BLK OF W 50TH AVE,
,,BBlvd,C,1,,,,,,,,N MARION ST,E 26TH AVE,E 27TH AVE,LOCAL,2,10,25,0, 2600 BLK OF N MARION ST,
,SRd,,RD,,,,,,,,,N FRANKLIN ST,E 33RD AVE,E BRUCE RANDOLPH AVE,COLLECTOR,2,10,25,0, 3300 BLK OF N FRANKLIN ST,
,,SH,ASM,3,,,,,,,,W 32ND AVE,N LOWELL BLVD,N MEADE ST,COLLECTOR,2,10,30,0, 3600 BLK OF W 32ND AVE,
,,BL,RP1,3,,,,,,,,W 50TH AVE,N OSCEOLA ST,N PERRY ST,COLLECTOR,2,10,25,0, 3900 BLK OF W 50TH AVE,
,SRd,BL,RP1,3,,,,,,,,E EXPOSITION AVE,S FRANKLIN ST/DENVER PARK RD,S GILPIN ST,COLLECTOR,2,11,25,0, 1600 BLK OF E EXPOSITION AVE,
,,BL,RD,3,,,,,,,,N ZUNI ST,W 28TH AVE,W 29TH AVE,ARTERIAL,4,11,30,0, 2800 BLK OF N ZUNI ST,
,,BBlvd,C,1,,,,,,,,N MARION ST,E 27TH AVE,MEDIAN END,LOCAL,2,10,25,0, 2700 BLK OF N MARION ST,
,SRd,BBlvd,C,2,,,,,,,,W VIRGINIA AVE,S BROADWAY/E VIRGINIA AVE,S BANNOCK ST,LOCAL,2,10,25,0,  000 BLK OF W VIRGINIA AVE,
,,,FTP1,3,,,,,,,,N ZUNI ST,W 36TH AVE,W 37TH AVE,ARTERIAL,2,11,30,0, 3600 BLK OF N ZUNI ST,
,SRd,BL,RP1,1,,,,,,,,E 3RD AVE,N DOWNING ST/N DOWNING STREET PKWY,N MARION ST,LOCAL,2,10,25,0, 1200 BLK OF E 3RD AVE,
,SRd,BL,RP1,2,,,,,,,,S CHEROKEE ST,W BAYAUD AVE,W MAPLE AVE,LOCAL,2,10,25,0,  100 BLK OF S CHEROKEE ST,
,SRd,BBlvd,C,2,,,,,,,,E VIRGINIA AVE,S WASHINGTON ST,S CLARKSON ST,COLLECTOR,2,10,25,0,  700 BLK OF E VIRGINIA AVE,
,,,FTP1,3,,,,,,,,N ZUNI ST,W 35TH AVE,W 36TH AVE,ARTERIAL,2,11,30,0, 3500 BLK OF N ZUNI ST,
,,BL,LD,3,,,,,,,,N ZUNI ST,W 30TH AVE,W CAITHNESS PL,ARTERIAL,2,11,30,0, 3000 BLK OF N ZUNI ST,
