LOCATION,LOC_CODE,TRAIL_NAME,REACH,PATH_TYPE,TYPE_CLASS,SURFACE_TYPE,LENGTH_MILE,WIDTH_FT,PRIMARY_USE,JURISDICTION,ACCESSIBILITY,YEAR_BUILT,YEAR_RESURF,NOTES,ASSET_CLASS,CLASS_CATEGORY,GIS_ASSET_ID,INFOR_ASSET_ID
Washington Park,711,None,None,1,Park Circulation,Asphalt,0.00945978,None,None,City & County of Denver,None,None, ,None,WLKTRL,WLK-HARD,74001,104382
Stapleton Central,561,None,None,1,Park Circulation,Crusher Fines,0.04712779,None,None,City & County of Denver,None,None, ,None,WLKTRL,WLK-SOFT,73499,109533
Washington Park,711,None,None,1,Park Circulation,Asphalt,0.01266484,None,None,City & County of Denver,None,None, ,None,WLKTRL,WLK-HARD,74205,108888
Washington Park,711,None,None,1,Park Circulation,Crusher Fines,0.01052088,None,None,City & County of Denver,None,None, ,None,WLKTRL,WLK-SOFT,74174,108196
West-Bar-Val-Wood,838,None,None,1,Right of Way Walk,Concrete,0.06229239,None,None,City & County of Denver,None,None, ,None,WLKTRL,WLK-ROW,74206,108889
West-Bar-Val-Wood,838,None,None,1,Right of Way Walk,Concrete,0.11245841,None,None,City & County of Denver,None,None, ,None,WLKTRL,WLK-ROW,74175,108197
West-Bar-Val-Wood,838,None,None,1,Park Circulation,Asphalt,0.0166506,None,None,City & County of Denver,None,None, ,None,WLKTRL,WLK-HARD,74003,104384
West-Bar-Val-Wood,838,None,None,1,Park Circulation,Asphalt,0.16585372,None,None,City & County of Denver,None,None, ,None,WLKTRL,WLK-HARD,74140,107459
West-Bar-Val-Wood,838,None,None,1,Park Circulation,Asphalt,0.01888591,None,None,City & County of Denver,None,None, ,None,WLKTRL,WLK-HARD,74116,106725
West-Bar-Val-Wood,838,None,None,1,Right of Way Walk,Concrete,0.00974527,None,None,City & County of Denver,None,None, ,None,WLKTRL,WLK-ROW,74141,107460
West-Bar-Val-Wood,838,None,None,1,Park Circulation,Asphalt,0.01218574,None,None,City & County of Denver,None,None, ,None,WLKTRL,WLK-HARD,74142,107461
West-Bar-Val-Wood,838,None,None,1,Right of Way Walk,Concrete,0.10526854,None,None,City & County of Denver,None,None, ,None,WLKTRL,WLK-ROW,74004,104385
West-Bar-Val-Wood,838,None,None,1,Park Circulation,Asphalt,0.09986134,None,None,City & County of Denver,None,None, ,None,WLKTRL,WLK-HARD,74176,108198
Westwood Park,839,None,None,1,Right of Way Walk,Concrete,0.02124246,4.0,None,City & County of Denver,None,2018, ,None,WLKTRL,WLK-ROW,74143,107462
Westwood Park,839,None,None,1,Park Circulation,Concrete,0.04001943,8.0,None,City & County of Denver,None,2018, ,None,WLKTRL,WLK-HARD,74207,108890
Garland Park,728,None,None,1,Park Circulation,Concrete,0.01975756,8.0,None,City & County of Denver,None,None, ,None,WLKTRL,WLK-HARD,70158,107746
Garland Park,728,None,None,1,Park Circulation,Concrete,0.05707729,8.0,None,City & County of Denver,None,None, ,None,WLKTRL,WLK-HARD,70230,109115
Garland Park,728,None,None,1,Park Circulation,Concrete,0.0065075,6.0,None,City & County of Denver,None,None, ,None,WLKTRL,WLK-HARD,70195,108445
Garland Park,728,None,None,1,Park Circulation,Concrete,0.00691731,6.0,None,City & County of Denver,None,None, ,None,WLKTRL,WLK-HARD,70231,109116
Garland Park,728,None,None,1,Park Circulation,Concrete,0.02207124,8.0,None,City & County of Denver,None,None, ,None,WLKTRL,WLK-HARD,70196,108446
Garland Park,728,None,None,1,Right of Way Walk,Concrete,0.00693534,8.0,None,City & County of Denver,None,None, ,None,WLKTRL,WLK-ROW,70197,108447
Montbello Central,541,None,None,1,Park Circulation,Asphalt,0.02001593,None,None,City & County of Denver,None,None, ,None,WLKTRL,WLK-HARD,70013,103893
Montbello Central,541,None,None,1,Park Circulation,Asphalt,0.01085819,None,None,City & County of Denver,None,None, ,None,WLKTRL,WLK-HARD,70232,109117
Montbello Central,541,None,None,1,Park Circulation,Asphalt,0.01391891,None,None,City & County of Denver,None,None, ,None,WLKTRL,WLK-HARD,70126,106972
Montbello Central,541,None,None,1,Park Circulation,Asphalt,0.02419592,None,None,City & County of Denver,None,None, ,None,WLKTRL,WLK-HARD,70198,108448
Montbello Central,541,None,None,1,Park Circulation,Asphalt,0.00509186,None,None,City & County of Denver,None,None, ,None,WLKTRL,WLK-HARD,70068,105438
Montbello Civic Center,535,None,None,1,Right of Way Walk,Concrete,0.04606959,None,None,City & County of Denver,None,None, ,None,WLKTRL,WLK-ROW,70159,107747
Montbello Civic Center,535,None,None,1,Right of Way Walk,Concrete,0.02948892,None,None,City & County of Denver,None,None, ,None,WLKTRL,WLK-ROW,70014,103894
Montbello Civic Center,535,None,None,1,Park Circulation,Concrete,0.04817677,None,None,City & County of Denver,None,None, ,None,WLKTRL,WLK-HARD,70015,103895
Montbello Civic Center,535,None,None,1,Right of Way Walk,Concrete,0.03424674,None,None,City & County of Denver,None,None, ,None,WLKTRL,WLK-ROW,70069,105439
Montbello Civic Center,535,None,None,1,Park Circulation,Concrete,0.01899711,None,None,City & County of Denver,None,None, ,None,WLKTRL,WLK-HARD,70199,108449
Barnum Park,804,None,None,1,Park Circulation,Concrete,0.0359302,8.0,None,City & County of Denver,None,None, ,None,WLKTRL,WLK-HARD,70310,104705
Barnum Park,804,None,None,1,Right of Way Walk,Concrete,0.0240674,6.0,None,City & County of Denver,None,None, ,None,WLKTRL,WLK-ROW,70411,107019
Sandos (M.L. Sam) Park,023,Weir Gulch Trail,None,2,Minor,Concrete,0.17624136,10.0,None,City & County of Denver,None,2016, ,None,WLKTRL,TRL-MNR,70719,109165
Barnum East,803,None,None,1,Park Circulation,Concrete,0.0155653,12.0,None,City & County of Denver,None,2016, ,None,WLKTRL,WLK-HARD,70500,103934
Barnum East,803,None,None,1,Park Circulation,Concrete,0.08078619,6.0,None,City & County of Denver,None,2016, ,None,WLKTRL,WLK-HARD,70662,107798
Eastmoor Park,606,None,None,1,Park Circulation,Concrete,0.02784134,8.0,None,City & County of Denver,None,2010, ,None,WLKTRL,WLK-HARD,70736,109182
Eastmoor Park,606,None,None,1,Park Circulation,Concrete,0.0332385,8.0,None,City & County of Denver,None,2010, ,None,WLKTRL,WLK-HARD,70737,109183
Eastmoor Park,606,None,None,1,Park Circulation,Concrete,0.11497246,8.0,None,City & County of Denver,None,2010, ,None,WLKTRL,WLK-HARD,70699,108502
Eastmoor Park,606,None,None,1,Park Circulation,Concrete,0.03048082,8.0,None,City & County of Denver,None,2010, ,None,WLKTRL,WLK-HARD,70646,107040
Eastmoor Park,606,None,None,1,Park Circulation,Concrete,0.03128672,8.0,None,City & County of Denver,None,2010, ,None,WLKTRL,WLK-HARD,70583,105512
Eastmoor Park,606,None,None,1,Park Circulation,Concrete,0.0511498,8.0,None,City & County of Denver,None,2010, ,None,WLKTRL,WLK-HARD,70552,104724
Eastmoor Park,606,None,None,1,Park Circulation,Concrete,0.04785529,8.0,None,City & County of Denver,None,2010, ,None,WLKTRL,WLK-HARD,70700,108503
Eastmoor Park,606,None,None,1,Park Circulation,Concrete,0.05210675,8.0,None,City & County of Denver,None,2010, ,None,WLKTRL,WLK-HARD,70738,109184
Eastmoor Park,606,None,None,1,Park Circulation,Concrete,0.01696639,8.0,None,City & County of Denver,None,2010, ,None,WLKTRL,WLK-HARD,70523,103957
Greenway Park,556,None,None,1,Park Circulation,Concrete,0.00296182,5.0,None,City & County of Denver,None,None, ,None,WLKTRL,WLK-HARD,70679,107815
Greenway Park,556,None,None,1,Park Circulation,Concrete,0.02272851,10.0,None,City & County of Denver,None,None, ,None,WLKTRL,WLK-HARD,70593,105522
Greenway Park,556,None,None,1,Park Circulation,Concrete,0.02734631,10.0,None,City & County of Denver,None,None, ,None,WLKTRL,WLK-HARD,70656,107050
Greenway Park,556,Stapleton Greenway Trail,None,2,Minor,Concrete,0.02555049,12.0,None,City & County of Denver,None,2008, ,None,WLKTRL,TRL-MNR,70712,108515
Greenway Park,556,None,None,1,Park Circulation,Concrete,0.00747289,10.0,None,City & County of Denver,None,None, ,None,WLKTRL,WLK-HARD,70530,103964
Greenway Park,556,None,None,1,Right of Way Walk,Crusher Fines,0.01091595,None,None,City & County of Denver,None,None, ,None,WLKTRL,WLK-ROW,70657,107051
Greenway Park,556,None,None,1,Right of Way Walk,Crusher Fines,0.02535583,None,None,City & County of Denver,None,None, ,None,WLKTRL,WLK-ROW,70560,104732
Greenway Park,556,None,None,1,Park Circulation,Crusher Fines,0.11362049,6.0,None,City & County of Denver,None,None, ,None,WLKTRL,WLK-SOFT,70594,105523
Greenway Park,556,None,None,1,Right of Way Walk,Concrete,0.03829758,None,None,City & County of Denver,None,None, ,None,WLKTRL,WLK-ROW,70713,108516
Bear Valley,140,None,None,1,Park Circulation,Concrete,0.06617636,8.0,None,City & County of Denver,None,None, ,None,WLKTRL,WLK-HARD,70754,103973
Bear Valley,140,None,None,1,Park Circulation,Asphalt,0.0267388,8.0,None,City & County of Denver,None,None, ,None,WLKTRL,WLK-HARD,70838,106280
Bear Valley,140,None,None,1,Park Circulation,Asphalt,0.20440678,8.0,None,City & County of Denver,None,None, ,None,WLKTRL,WLK-HARD,70839,106281
Montbello Civic Center,535,None,None,1,Park Circulation,Concrete,0.02655831,None,None,City & County of Denver,None,None, ,None,WLKTRL,WLK-HARD,70097,106204
Montbello Civic Center,535,None,None,1,Park Circulation,Concrete,0.01027202,None,None,City & County of Denver,None,None, ,None,WLKTRL,WLK-HARD,70098,106205
